"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Perez, Adrian",0,0,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"2","Pritchard, Austin",0,2,0,5,0,0,0,1,0,7.1,3,0,0,3,9,0,0,0,29,0.12,0,0,0,1,0
"3","Mccutcheon, Alex",2.51,9,3,13,12,6,2,1,0,79,56,28,22,30,99,8,2,7,323,0.2,6,5,4,3,4
"4","Pitzer, Cameron",3.86,1,0,1,0,0,0,0,0,2.1,1,1,1,0,0,0,0,1,8,0.125,0,0,0,0,0
"5","Froehlke, Ethan",4.5,0,0,2,0,0,0,0,0,2,3,1,1,4,2,0,0,0,12,0.375,0,0,0,0,0
"6","Turner, Brent",4.73,1,0,15,3,0,0,1,1,40,31,24,21,38,28,5,1,3,184,0.221,1,4,2,1,1
"7","Butz, Joey",4.76,1,1,12,5,0,0,0,2,28.1,27,15,15,14,21,3,1,4,125,0.26,4,5,1,1,1
"8","Shinabery, Mason",4.85,5,3,18,6,0,0,1,2,68.2,67,46,37,31,72,17,1,13,288,0.272,1,3,1,1,6
"9","Moore, DJ",5.13,2,4,10,9,1,0,1,0,47.1,53,33,27,19,54,9,1,0,225,0.275,5,7,0,2,4
"10","Freeman, Gabe",5.4,1,0,6,1,0,0,0,0,13.1,15,9,8,10,7,1,0,1,67,0.283,0,2,0,2,0
"11","Landrum, Caleb",6.45,4,5,11,6,1,0,1,1,44.2,71,38,32,14,28,6,0,3,208,0.38,4,4,0,0,3
"12","Total:",4.42,26,16,42,NA,8,2,6,6,333.2,327,195,164,164,320,49,6,32,1471,0.263,21,30,8,11,19
"13","Opponents:",4.89,16,26,42,NA,6,1,0,3,331.1,345,231,180,183,281,74,10,14,1499,0.28,22,40,7,15,29
