"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Streit, Andrew",0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2","Burleton, Matt",1.37,8,2,17,15,4,2,2,2,105.1,67,18,16,27,87,9,1,1,410,0.182,4,5,0,2,7
"3","Darter, Ethan",2.93,2,1,9,0,0,0,0,1,15.1,17,6,5,3,20,5,0,0,69,0.274,0,2,0,2,0
"4","Aping, Kole",3.75,0,1,7,3,1,0,1,0,24,27,18,10,12,21,7,0,4,118,0.273,3,3,0,3,1
"5","Berger, Jared",4.15,2,2,14,0,0,0,0,1,21.2,20,13,10,11,16,4,0,0,104,0.241,3,5,0,2,3
"6","Simpson, Tanner",4.35,5,4,13,11,0,0,0,1,62,80,39,30,18,47,13,4,3,285,0.31,7,5,1,2,2
"7","Dowell, Chase",4.71,10,2,22,8,2,0,2,2,80.1,92,43,42,26,45,13,1,1,366,0.294,7,16,0,4,7
"8","Wills, Reese",4.8,2,3,8,6,1,0,1,1,30,36,21,16,14,22,9,1,1,143,0.3,0,6,0,0,3
"9","Marin, Jake",8,0,0,4,0,0,0,0,0,9,18,15,8,8,8,4,1,2,55,0.383,0,0,2,0,0
"10","Lucas, Tyler",8.51,1,4,8,6,0,0,0,0,24.1,23,25,23,22,19,5,1,4,121,0.242,0,3,1,0,1
"11","Sampoll, Josh",9.75,0,0,5,0,0,0,0,0,12,18,13,13,7,7,3,0,0,61,0.367,1,3,0,0,2
"12","Bartholomew, Adam",9.82,0,0,2,0,0,0,0,0,3.2,7,4,4,1,1,1,0,0,18,0.412,0,0,0,0,0
"13","Abegg, Kadin",10,0,2,4,2,0,0,0,0,9,8,12,10,12,2,2,0,0,47,0.25,0,1,0,2,0
"14","Weimer, Cole",10.13,0,0,2,0,0,0,0,0,2.2,4,3,3,1,1,0,0,1,12,0.364,1,0,0,0,0
"15","Laguire, Jonathan",18,0,0,1,0,0,0,0,0,1,2,2,2,1,1,1,0,0,7,0.4,0,1,0,0,0
"16","Total:",4.31,30,21,51,NA,8,2,6,8,400.2,419,232,192,163,297,76,9,17,1817,0.268,26,50,4,17,26
"17","Opponents:",4.57,21,30,51,NA,14,2,8,4,404,404,259,205,209,327,65,1,30,1878,0.255,33,40,1,17,27
