"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Goodrich, Kory",4.95,1,4,7,5,2,0,1,1,36.1,44,24,20,10,29,6,0,1,167,0.295,4,3,1,0,5
"2","Rasmussen, Justin",5.54,2,5,14,12,1,1,0,0,74.2,85,58,46,36,63,18,2,7,357,0.28,2,8,3,5,4
"3","Bobeck, Andrew",5.74,4,6,14,11,1,0,2,0,62.2,63,51,40,35,35,10,1,5,292,0.257,4,4,0,4,4
"4","Swingley, Sullivan",6.18,1,3,9,7,0,0,0,0,43.2,51,38,30,11,22,10,2,4,194,0.287,1,2,1,0,3
"5","Pietsch, Matthew",6.23,0,0,12,0,0,0,0,0,13,15,16,9,15,13,2,3,1,74,0.278,4,2,0,2,1
"6","Hoeffel, Noah",6.75,0,1,2,0,0,0,0,1,1.1,2,3,1,3,2,2,0,0,11,0.25,1,0,0,0,0
"7","King, Josh",6.75,1,3,9,2,0,0,0,0,22.2,26,23,17,11,16,4,0,1,109,0.277,2,3,0,0,1
"8","Luzon, Sean",6.75,0,1,7,1,0,0,0,0,17.1,19,14,13,13,9,4,0,3,86,0.284,0,1,0,3,2
"9","Ignaszak, Quin",7.36,0,1,2,0,0,0,0,0,3.2,4,5,3,1,2,1,0,1,18,0.25,0,1,0,0,0
"10","Madrid, Jose",8.63,2,1,17,0,0,0,0,0,24,26,26,23,20,17,6,0,5,118,0.289,9,3,1,3,2
"11","Beebe, Krischtin",9.28,0,3,7,1,0,0,0,0,10.2,20,13,11,13,8,1,0,2,63,0.4,2,0,0,0,0
"12","Clevenger, Benjamin",14.54,0,1,2,1,0,0,1,0,4.1,7,7,7,6,6,4,0,0,27,0.35,1,1,0,0,0
"13","Total:",6.3,11,29,40,NA,4,1,4,2,314.1,362,278,220,174,222,68,8,30,1516,0.284,30,28,6,17,22
"14","Opponents:",4.05,29,11,40,NA,9,1,0,10,318,319,177,143,142,290,47,6,10,1442,0.259,29,34,3,9,23
