"","Pitching","ERA","W","L","GP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","TBF","B/Avg","WP","HBP","BK","SFA","SHA"
"1","Grooms, Jason",0,0,0,1,0,0,0,0,0,1.1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"2","Evans, Braedon",2.75,3,1,8,8,0,0,0,0,36,37,15,11,13,40,3,1,1,155,0.272,2,1,0,3,2
"3","Malson, Colby",2.94,6,1,15,4,1,0,0,2,49,36,23,16,21,56,5,2,3,211,0.198,5,2,0,2,4
"4","Daniel, Colton",3.19,3,3,22,0,0,0,0,5,36.2,34,19,13,24,41,2,0,2,171,0.252,4,5,1,2,5
"5","Gorman, Kade",3.42,3,5,15,7,0,0,0,0,52.2,49,31,20,25,47,5,1,1,238,0.247,7,7,1,3,5
"6","Young, Baylee",4.86,2,0,9,3,1,0,0,0,37,40,29,20,14,32,8,2,4,169,0.261,1,1,0,1,0
"7","Nickell, Camm",6.1,1,8,11,10,3,0,0,0,48.2,67,43,33,17,57,10,1,7,241,0.322,5,11,0,1,4
"8","Kotecki, Kyle",6.29,1,1,17,2,0,0,0,0,24.1,36,23,17,16,12,6,2,0,126,0.336,2,3,0,0,0
"9","Fox, Toby",6.49,1,2,12,5,0,0,0,0,26.1,34,25,19,6,17,8,2,1,123,0.312,4,4,1,1,2
"10","Armstrong, Quinlan",7,0,1,10,1,0,0,0,0,18,23,21,14,7,6,3,1,1,90,0.291,0,4,0,0,0
"11","Staelgraeve, Kyle",7.71,0,5,12,7,0,0,0,0,37.1,54,40,32,25,25,8,1,5,191,0.344,3,3,2,1,5
"12","Caplinger, Nick",12.75,0,2,11,2,0,0,0,0,12,19,20,17,16,12,5,0,2,74,0.373,3,5,0,0,2
"13","Total:",5.03,20,29,49,NA,5,0,0,7,379.1,429,289,212,184,346,63,13,27,1792,0.283,36,46,5,14,29
"14","Opponents:",4.31,29,20,49,NA,8,4,4,4,390.1,403,230,187,181,363,69,1,23,1791,0.262,43,36,5,20,14
